id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4724066,3B PENTHOUSE IN IPANEMA-BEACH VIEWS,16104112,,,Ipanema,-22.98524,-43.20394,Entire home/apt,670,4,4,2016-05-28,0.06,6,49
4724754,Quarto ZonaSul RJ vista p/ floresta,24102417,Gisella,,Cosme Velho,-22.94106,-43.199,Private room,400,1,0,,,1,365
4725565,"Maravilhoso, melhor ponto Leblon!",15637811,Antonia,,Leblon,-22.98525,-43.22817,Entire home/apt,450,5,13,2021-02-25,0.17,7,54
4727205,"Flamengo, swimming pool and saunas",24412343,Leonardo,,Catete,-22.93224,-43.17806,Entire home/apt,150,5,32,2021-02-24,0.50,1,173
4729758,Quarto para casal em Botafogo,24126020,Gabriela,,Botafogo,-22.95422,-43.19016,Private room,160,1,4,2017-09-01,0.07,1,358
4729973,Apartamento em Copacabana FÉRIAS/CARNAVAL 2021,24425409,Carla,,Copacabana,-22.97568,-43.19206,Entire home/apt,700,5,7,2020-02-26,0.09,1,364
4732854,Ipanema-Arpoador just one block from the beach,7692877,Georgeana & Paulino,,Ipanema,-22.9851,-43.19568,Entire home/apt,158,5,83,2021-02-06,1.23,6,83
4733493,Quarto em Botafogo,2292488,Leandro,,Botafogo,-22.95571,-43.19557,Private room,100,5,4,2018-02-14,0.06,2,0
4733944,Lovely private room,12544269,Margarida,,Flamengo,-22.936,-43.17744,Private room,150,1,4,2015-12-01,0.06,1,363
4734249,Comfortable 2-bdr Flat near Urca,13997429,Rafael,,Botafogo,-22.95524,-43.17563,Entire home/apt,242,3,12,2019-08-21,0.16,1,0
4734497,Cozy apart near Maracanã & Center,15009225,Mariana,,São Cristóvão,-22.90594,-43.21985,Entire home/apt,700,5,0,,,1,363
4735023,"House in a gated community, at Barra.",24446407,Viviane,,Barra da Tijuca,-23.00731,-43.29976,Entire home/apt,991,30,1,2018-01-22,0.03,1,340
4735029,Conforto aos pés do Corcovado,9582592,Bruno,,Cosme Velho,-22.94185,-43.20033,Private room,150,2,0,,,2,364
4738195,Apartamento de frente para o Cristo Redentor,24460812,Leila,,Humaitá,-22.95442,-43.19949,Entire home/apt,206,1,5,2017-04-26,0.07,1,363
4740641,Apartamento bem legal!,24472303,Ana,,Copacabana,-22.96657,-43.18064,Entire home/apt,100,4,14,2020-02-26,0.18,1,362
4741414,Apê charmoso com vista linda Botafogo/Copa Praia,24458563,Ronaldo,,Botafogo,-22.95519,-43.17764,Entire home/apt,300,4,7,2019-01-03,0.15,1,81
4741511,Studio on Copacabana beach!,17457696,Soul,,Copacabana,-22.98185,-43.19061,Entire home/apt,125,3,52,2021-02-17,0.82,2,70
4745980,quarto leblon  praia lagoa,24118832,Fernando,,Leblon,-22.98173,-43.22013,Private room,824,1,0,,,2,0
4748029,Penthouse with wonderfull terrace in Copacabana,10288605,Jaqueline,,Copacabana,-22.97492,-43.18978,Entire home/apt,653,2,0,,,3,13
4750172,AP no Jardim Botânico,24514337,Carlos,,Jardim Botânico,-22.95886,-43.20363,Entire home/apt,500,1,0,,,1,365
4751916,Excelente Apto  em frente a Riocentro - 2 quartos,24521701,Fatima,,Jacarepaguá,-22.97392,-43.41366,Entire home/apt,210,2,47,2021-01-03,0.65,6,296
4753593,Apartment 2 bedrooms in Ipanema,15078553,Maria,,Ipanema,-22.98159,-43.20237,Entire home/apt,1200,3,0,,,5,358
4757415,Paraiso a Beira Mar no Rio,4005407,Erika,,Recreio dos Bandeirantes,-23.03126,-43.4797,Entire home/apt,578,3,9,2018-02-09,0.12,38,365
4757847,Bedroom in Leblon between the beach and the lagoon,24118832,Fernando,,Leblon,-22.97958,-43.22005,Private room,3843,1,0,,,2,0
4759762,Copacabana 2 Quartos 200 m da praia,24559768,Rafael,,Copacabana,-22.96901,-43.18507,Entire home/apt,350,2,4,2020-10-12,0.07,2,365
4761793,Studio no Leme - Quadra da Praia,24569994,Paloma,,Leme,-22.96391,-43.1693,Entire home/apt,252,3,9,2021-01-02,0.14,1,0
4767901,Copacabana Beach Be$t Since 2014 Best Comments 5*,24597357,César,,Copacabana,-22.97531,-43.19082,Entire home/apt,179,2,120,2019-05-08,1.57,1,0
4773338,Cidade Maravilhosa,10563531,Rudimar,,Laranjeiras,-22.93836,-43.1909,Entire home/apt,249,3,35,2021-01-11,0.46,2,357
4774514,"3 bedrooms, private barbecue",4420701,Gustavo,,Jacarepaguá,-22.97094,-43.39629,Entire home/apt,164,3,60,2021-03-03,0.82,14,227
4776482,Beautiful Studio at the Beach block,3208208,,,Leblon,-22.98437,-43.21985,Entire home/apt,300,5,4,2020-05-01,0.05,1,89
4777226,IPANEMA PRIME LOCATION,2357279,Alexandre,,Ipanema,-22.98526,-43.20224,Entire home/apt,369,3,1,2015-01-05,0.01,3,365
4780976,IPANEMA Apt 2 suites com vaga na quadra da praia,532498,Luis,,Ipanema,-22.98499,-43.20679,Entire home/apt,700,2,10,2019-01-02,0.13,48,365
4781150,Charmoso apartamento em Copacabana,5579838,Bruna,,Copacabana,-22.96458,-43.17864,Entire home/apt,186,2,55,2021-02-17,0.74,1,324
4782298,Copacabana 2 Qts Luxuoso em Copacabana#202,8975746,Maria Ivani,,Copacabana,-22.9667,-43.17749,Entire home/apt,800,3,0,,,73,364
4786294,Welcoming Apartment in Copacabana,24512109,Leonardo,,Copacabana,-22.96546,-43.18036,Entire home/apt,277,3,115,2021-01-07,1.54,1,87
4786528,Beachfront 4 ch Copacabana 250m²,6785488,Paul,,Copacabana,-22.9654,-43.17506,Entire home/apt,1450,3,0,,,8,357
4790136,Paradise in Leblon,24690390,Beth,,Leblon,-22.98537,-43.22718,Entire home/apt,349,2,92,2020-09-30,1.24,1,170
4791351,Peter's Copa Beach Condo - #212,224192,David,,Copacabana,-22.97465,-43.19042,Entire home/apt,280,3,0,,,38,256
4794770,Excellent flat in residencial area at Copacabana!,13372423,Claudia,,Copacabana,-22.96851,-43.18809,Entire home/apt,140,3,69,2021-02-10,0.93,2,179
4795122,IPANEMA TOWER 2 quartos vista Mar,532498,Luis,,Ipanema,-22.98521,-43.20572,Entire home/apt,600,3,3,2019-11-25,0.04,48,0
4795630,Penthouse duplex luxe 3 ch Ipanema,6785488,Paul,,Ipanema,-22.98529,-43.20466,Entire home/apt,1400,5,8,2021-01-24,0.11,8,363
4798216,"Chambre 2 lits, 15mn praia, terraço. Fran/Port/Ing",24723972,Jean  Christophe,,Humaitá,-22.95975,-43.20186,Private room,220,2,5,2020-01-06,0.09,2,0
4798899,Rio037 - Classy 3 bedroom penthouse with pool and terrace in Ipanema,22805631,Latin Exclusive,,Ipanema,-22.98523,-43.19953,Entire home/apt,2300,3,17,2021-02-15,0.23,42,286
4799127,Amazing and silent loft in Copacaba,3108167,Patricia,,Copacabana,-22.97469,-43.19293,Entire home/apt,405,3,14,2018-02-16,0.19,1,265
4800611,ótima oportunidade,24733723,Felipe,,Botafogo,-22.95223,-43.19527,Private room,650,1,0,,,1,365
4803185,ATERRO DO FLAMENGO,24744886,Mary,,Glória,-22.92237,-43.17454,Entire home/apt,99,5,23,2020-03-12,0.45,1,364
4805479,Full apartament - Copacabana,2130998,Elaine,,Copacabana,-22.971,-43.18577,Entire home/apt,300,5,3,2021-01-30,0.05,1,362
4805945,Quarto  em apartamento familiar,24756869,Geneilde,,Copacabana,-22.97186,-43.18839,Private room,300,5,7,2020-01-02,0.14,1,365
4806507,Varandão com vista para o mar.,5369841,Eliane,,Ipanema,-22.98572,-43.20177,Entire home/apt,1800,5,0,,,3,0
4806888,Apto Quadra da Praia de Copacabana,4704654,Liliam,,Copacabana,-22.97267,-43.18806,Entire home/apt,150,7,6,2018-03-10,0.11,1,358
4807421,Cosy duplex with huge terrace,3746246,Ghizlane,,Copacabana,-22.97378,-43.18947,Entire home/apt,240,15,27,2020-03-21,0.36,10,296
4807925,Rio210 - Apartment on the last floor of the Tiffany's residence,22805631,Latin Exclusive,,Ipanema,-22.98641,-43.20059,Entire home/apt,1609,3,11,2020-08-30,0.16,42,358
4808424,COM O PÃO DE AÇÚCAR BEM NA SUA FRENTE,24766519,Renato,,Centro,-22.91088,-43.17246,Entire home/apt,150,2,226,2021-02-28,2.99,4,275
4808720,Great place to stay!,9749539,Marcus,,Flamengo,-22.9391,-43.17462,Entire home/apt,197,2,0,,,2,364
4810114,Apart-hotel Rio Flat - Leblon / Rio,24774942,Regina,,Leblon,-22.98264,-43.21931,Entire home/apt,337,5,16,2019-03-06,0.21,1,0
4814873,Melhor Loft na melhor Região do Rio,24797065,Fernando,,Centro,-22.90969,-43.17601,Entire home/apt,400,2,1,2020-02-24,0.08,1,364
4815085,Loft em vila residencial,24797835,Augusto,,Santa Teresa,-22.92371,-43.18253,Entire home/apt,186,1,1,2015-02-18,0.01,2,365
4816505,Private room in São Conrado,14044951,Karin,,São Conrado,-22.99161,-43.25878,Private room,199,1,4,2019-01-03,0.05,4,365
4819235,"Apartamento em Copacabana, Rio de Janeiro",9145585,Lu,,Copacabana,-22.97043,-43.18837,Entire home/apt,200,3,8,2021-01-04,0.12,1,365
4820924,AMPLO APARTAMENTO EM SANTA TERESA,12766943,José Antonio,,Santa Teresa,-22.9243,-43.1908,Private room,263,1,0,,,1,364
4822832,Relax in Copacabana,24834684,Larissa,,Copacabana,-22.9689,-43.18141,Entire home/apt,225,3,14,2020-03-25,0.22,2,90
4823889,Summer Palace,4005407,Erika,,Barra da Tijuca,-23.00916,-43.35782,Entire home/apt,350,1,5,2019-10-06,0.09,38,364
4824307,"2 1/2 rooms/ 3 bathrooms/ garage, best of Ipanema",792218,Levy,,Ipanema,-22.98356,-43.19806,Entire home/apt,291,3,40,2021-02-17,0.58,10,354
4828092,Contemporary House in Rio's Forest,24854828,Maria Beatriz,,Rio Comprido,-22.93281,-43.19987,Entire home/apt,795,2,97,2020-03-14,1.28,1,325
4829101,407 - Flat Leblon com garagem e piscina!,1500426,Cristyna  Rio,,Leblon,-22.98384,-43.22344,Entire home/apt,450,4,23,2020-01-12,0.32,51,270
4829165,Aconchegante quarto p/ olimpíadas,24853320,Maurício,,Jacarepaguá,-22.97096,-43.35614,Private room,500,1,0,,,1,365
4830589,Apartamento Barra - Rio de Janeiro,24867609,,,Barra da Tijuca,-23.00831,-43.3648,Entire home/apt,201,4,10,2020-12-01,0.15,1,81
4830941,Olympic Pack 15days 2500 Last Min Copacabana,24377051,Joaquim,,Copacabana,-22.96203,-43.17443,Entire home/apt,500,15,0,,,1,365
4832139,Apto Copacabana,24874532,Fabiane,,Copacabana,-22.97235,-43.19041,Entire home/apt,315,3,5,2020-02-25,0.08,1,358
4839636,Very Good room in Copacabana near,21108686,Leonardo,,Copacabana,-22.9646,-43.18997,Private room,107,1,5,2020-12-06,0.09,1,364
4845088,Quarto silencioso e confortável,24930677,Angela,,Copacabana,-22.97667,-43.19145,Private room,104,1,10,2019-10-07,0.13,1,364
4845457,flat copacabana 1,24932191,Wellington,,Copacabana,-22.96494,-43.1792,Entire home/apt,219,1,12,2021-01-01,0.18,7,295
4846948,Quarto amplo em apto junto a praia,4597782,Marcia,,Leme,-22.96231,-43.16943,Private room,1000,1,0,,,1,0
4847372,Studio in Laranjeiras,24941741,Michelle,,Laranjeiras,-22.93447,-43.179,Entire home/apt,130,3,7,2017-04-11,0.10,3,234
4848898,"Pão de Açúcar, praia e shopping. Precisa mais?",11647707,Rose,,Botafogo,-22.94543,-43.18232,Entire home/apt,231,4,10,2021-03-09,0.13,2,43
4852693,Ipanema apartment Sea - Front,15637811,Antonia,,Ipanema,-22.98588,-43.20821,Entire home/apt,850,5,2,2015-08-31,0.03,7,0
4852900,Flamengo exclusivo vista da Baía,24966779,Carlos,,Flamengo,-22.93775,-43.17337,Entire home/apt,500,365,0,,,1,0
4855455,Novo em Ipanema! Recém reformado!,3078973,Ana,,Ipanema,-22.98362,-43.19519,Entire home/apt,436,2,1,2016-02-03,0.02,4,0
4857272,Cobertura duplex Ipanema somente mensal,15672610,Tulio,,Ipanema,-22.98205,-43.20882,Entire home/apt,285,365,0,,,2,364
4858341,Mar da Babilônia Hostel,24415930,Cristina,,Leme,-22.95979,-43.17148,Shared room,40,1,3,2017-11-22,0.05,5,359
4858441,Mar da Babilonia Hostel,24415930,Cristina,,Leme,-22.95885,-43.17168,Shared room,40,1,2,2020-02-10,0.03,5,365
4861029,03 quartos rua tranquila de Ipanema,25004550,Sergio,,Ipanema,-22.98069,-43.19972,Entire home/apt,350,2,6,2020-02-26,0.10,1,364
4864785,"Copacabana Beach, 3 bedrooms",25002900,Elizabeth,,Copacabana,-22.96674,-43.18052,Entire home/apt,310,3,47,2021-02-22,0.66,2,263
4865529,LUXURY  APART-HOTEL IPANEMA,5431187,Luca,,Ipanema,-22.9848,-43.21099,Hotel room,1146,5,12,2019-11-05,0.17,1,98
4867751,apartment at Barra da Tijuca,25038459,Eduardo,,Barra da Tijuca,-23.00999,-43.31686,Entire home/apt,250,5,17,2020-10-13,0.32,1,328
4867846,Charming loft in Copacabana.,17070351,Carlos,,Copacabana,-22.9751,-43.19233,Entire home/apt,137,5,108,2021-03-11,1.43,2,232
4871443,JOHN LIRA APART HOTEL,3018529,Marcia,,Leblon,-22.98456,-43.22232,Entire home/apt,500,2,11,2021-01-31,0.15,10,175
4872668,Apartamento em Copacabana vista mar,11567212,Federico,,Copacabana,-22.97994,-43.1914,Entire home/apt,300,3,0,,,2,365
4872894,Large apartm. Leblon great location,10030317,Márcia,,Leblon,-22.98342,-43.21833,Entire home/apt,350,2,77,2021-02-25,1.13,1,147
4874027,Charming two story penthouse in Rio,25074155,Fernanda,,Humaitá,-22.9539,-43.19703,Entire home/apt,246,5,21,2016-08-24,0.28,1,265
4874991,Modern condo with views,9272737,Ricardo,,Ipanema,-22.98072,-43.20035,Entire home/apt,743,3,15,2020-02-02,0.24,2,322
4875052,"#COPA LUXURY 1 BEDROOM
ALUGO MENSAL",4255118,Ricardo,,Copacabana,-22.97348,-43.18762,Entire home/apt,185,4,100,2021-03-18,1.36,46,161
4875827,TIJUCA/ Saens Pena - 1,2915201,Jules Rimet,,Tijuca,-22.92335,-43.23248,Entire home/apt,600,3,0,,,21,365
4880289,Leblon Flat Luxo The Claridge Aptº 705,11933736,Luiz,,Leblon,-22.98371,-43.22791,Entire home/apt,833,1,2,2015-02-18,0.03,4,365
4881072,Quarto no coração de Ipanema,25110914,Lucas,,Ipanema,-22.98197,-43.20118,Private room,200,1,4,2017-02-19,0.07,3,365
4881097,Beach view - Copacabana,2516002,Claudia,,Copacabana,-22.96881,-43.18071,Entire home/apt,398,2,181,2021-02-28,2.53,4,343
4884858,"Excellent apartment Ipanema,  just renovated.",25011537,Armando,,Ipanema,-22.98489,-43.19546,Entire home/apt,550,3,72,2021-03-14,0.97,2,355
4886714,O melhor da Lagoa para seu carnaval!,23283207,Fabricio,,Lagoa,-22.9681,-43.20161,Entire home/apt,600,2,1,2020-02-26,0.08,1,89
4891376,3/4 in LEBLON NEAR THE BEACH!,25130130,Fabio,,Leblon,-22.98422,-43.22403,Entire home/apt,400,3,52,2021-03-21,0.82,5,250
4891939,Casa Qoñicha Wasi - Rio de Janeiro,2459392,Qoñicha Wasi Hostel,,Santa Teresa,-22.9215,-43.18681,Entire home/apt,1208,1,0,,,1,365
